Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
10, Eco4102, 10771, 8129.24, 407.4, 178.6, 0.0
10, Eco4133, 2167, 9093.86, 447.8, 197.8, 0.0
10, Eco4226, 50645, 8803.72, 455.2, 182.6, 0.0
10, Eco4441, 11394, 10099.55, 503.5, 220.8, 0.0
10, Eco5036, 518, 6298.17, 298.9, 126.3, 0.0
10, Eco5102, 1704, 8657.71, 424.8, 200.8, 0.0
10, Eco5133, 2095, 7461.43, 384.4, 148.6, 0.0
10, Eco5226, 79038, 8480.71, 438.5, 173.4, 0.0
10, Eco5441, 24346, 9368.67, 473.5, 200.0, 0.0
10, Eco6036, 416, 4562.14, 245.0, 90.9, 0.0
10, Eco6133, 718, 7909.30, 409.4, 158.8, 0.0
10, Eco6226, 14221, 8532.99, 441.7, 167.0, 0.0
10, Eco6441, 112, 8827.65, 464.6, 187.3, 0.0
10, Eco7133, 1393, 8284.63, 436.5, 167.7, 0.0
10, Eco7226, 46751, 8821.28, 441.3, 177.1, 0.0
10, Eco7441, 8369, 9972.75, 490.8, 206.9, 0.0
15, Eco1072, 115584, 9390.14, 419.2, 187.6, 0.0
15, Eco1102, 62270, 9492.11, 418.8, 198.4, 0.0
15, Eco1133, 2042, 10225.95, 450.2, 197.9, 0.0
15, Eco1226, 20029, 10672.76, 462.3, 215.8, 0.0
15, Eco1441, 3597, 10590.13, 452.1, 225.8, 0.0
15, Eco2072, 474, 7496.60, 354.5, 142.1, 0.0
15, Eco2102, 25182, 8191.51, 360.5, 140.4, 0.0
15, Eco2133, 62492, 8427.94, 417.2, 159.3, 0.0
15, Eco2226, 140769, 9224.19, 409.2, 165.2, 0.0
15, Eco2441, 13252, 10209.21, 440.7, 190.5, 0.0
15, Eco3036, 4122, 6175.33, 278.8, 128.8, 0.0
15, Eco3072, 7998, 7669.65, 351.4, 151.6, 0.0
15, Eco3102, 2702, 8447.77, 378.8, 167.0, 0.0
15, Eco3226, 63089, 9423.46, 423.3, 189.1, 0.0
15, Eco3441, 12813, 11052.21, 491.7, 231.6, 0.0
15, Eco4036, 10187, 5311.53, 249.5, 99.7, 0.0
15, Eco4072, 8627, 7109.81, 333.6, 140.0, 0.0
15, Eco4102, 10771, 8341.16, 386.0, 166.6, 0.0
15, Eco4133, 2167, 8573.77, 391.9, 176.0, 0.0
15, Eco4226, 50645, 8846.58, 420.3, 170.6, 0.0
15, Eco4441, 11394, 10313.40, 472.2, 210.4, 0.0
15, Eco5036, 518, 5939.57, 272.3, 118.0, 0.0
15, Eco5102, 1704, 9005.29, 417.9, 190.2, 0.0
15, Eco5133, 2095, 7886.86, 380.6, 144.0, 0.0
15, Eco5226, 79038, 8689.25, 422.7, 166.8, 0.0
15, Eco5441, 24346, 9526.04, 459.4, 195.7, 0.0
15, Eco6036, 416, 4525.77, 237.5, 84.9, 0.0
15, Eco6133, 718, 8358.81, 401.2, 152.9, 0.0
15, Eco6226, 14221, 8863.18, 424.0, 161.1, 0.0
15, Eco6441, 112, 8929.29, 449.4, 181.1, 0.0
15, Eco7133, 1393, 8148.35, 413.0, 158.4, 0.0
15, Eco7226, 46751, 8713.32, 397.5, 163.0, 0.0
15, Eco7441, 8369, 10140.48, 448.4, 195.7, 0.0
20, Eco1072, 115584, 9982.17, 405.9, 173.6, 0.0
20, Eco1102, 62270, 10152.24, 407.9, 181.8, 0.0
20, Eco1133, 2042, 9851.99, 414.9, 178.1, 0.0
20, Eco1226, 20029, 11312.73, 455.5, 198.6, 0.0
20, Eco1441, 3597, 11408.55, 457.5, 221.5, 0.0
20, Eco2072, 474, 8508.10, 380.7, 141.9, 0.0
20, Eco2102, 25182, 8738.17, 350.2, 133.6, 0.0
20, Eco2133, 62492, 8674.68, 397.5, 148.0, 0.0
20, Eco2226, 140769, 9648.04, 399.9, 155.9, 0.0
20, Eco2441, 13252, 10861.52, 428.4, 181.7, 0.0
20, Eco3036, 4122, 6292.14, 280.8, 121.6, 0.0
20, Eco3072, 7998, 7975.57, 328.9, 137.6, 0.0
20, Eco3102, 2702, 9210.08, 370.8, 154.7, 0.0
20, Eco3226, 63089, 9806.52, 411.6, 173.2, 0.0
20, Eco3441, 12813, 11534.06, 469.3, 218.7, 0.0
20, Eco4036, 10187, 5391.48, 254.5, 98.1, 0.0
20, Eco4072, 8627, 7411.11, 339.5, 134.3, 0.0
20, Eco4102, 10771, 8400.95, 367.1, 152.6, 0.0
20, Eco4133, 2167, 8821.34, 392.8, 163.6, 0.0
20, Eco4226, 50645, 8974.92, 410.1, 160.3, 0.0
20, Eco4441, 11394, 10593.43, 463.5, 204.8, 0.0
20, Eco5036, 518, 5516.53, 250.1, 105.4, 0.0
20, Eco5102, 1704, 9076.12, 398.9, 176.1, 0.0
20, Eco5133, 2095, 7762.11, 348.0, 131.5, 0.0
20, Eco5226, 79038, 8846.79, 408.5, 157.6, 0.0
20, Eco5441, 24346, 9845.12, 457.0, 195.0, 0.0
20, Eco6036, 416, 4874.30, 241.5, 83.3, 0.0
20, Eco6133, 718, 8285.98, 375.9, 142.8, 0.0
20, Eco6226, 14221, 8826.34, 389.0, 147.1, 0.0
20, Eco6441, 112, 8087.40, 395.0, 166.4, 0.0
20, Eco7133, 1393, 8385.03, 395.9, 147.6, 0.0
20, Eco7226, 46751, 8527.35, 375.8, 147.0, 0.0
20, Eco7441, 8369, 10440.13, 432.5, 187.6, 0.0
25, Eco1072, 115584, 10682.60, 412.2, 183.2, 0.0
25, Eco1102, 62270, 11117.24, 420.6, 193.3, 0.0
25, Eco1133, 2042, 9510.18, 334.5, 155.1, 0.0
25, Eco1226, 20029, 12193.01, 445.1, 200.6, 0.0
25, Eco1441, 3597, 12287.26, 444.3, 213.5, 0.0
25, Eco2072, 474, 9186.95, 372.9, 146.8, 0.0
25, Eco2102, 25182, 9523.60, 347.4, 138.5, 0.0
25, Eco2133, 62492, 9116.50, 400.7, 156.1, 0.0
25, Eco2226, 140769, 10406.04, 400.9, 160.2, 0.0
25, Eco2441, 13252, 11821.19, 429.9, 181.8, 0.0
25, Eco3036, 4122, 6769.23, 277.6, 123.1, 0.0
25, Eco3072, 7998, 9007.28, 335.9, 142.7, 0.0
25, Eco3102, 2702, 9887.31, 358.0, 157.7, 0.0
25, Eco3226, 63089, 10779.07, 415.9, 179.6, 0.0
25, Eco3441, 12813, 12467.65, 461.9, 211.0, 0.0
25, Eco4036, 10187, 5819.44, 260.2, 104.6, 0.0
25, Eco4072, 8627, 7370.84, 321.6, 136.8, 0.0
25, Eco4102, 10771, 8808.42, 366.1, 158.7, 0.0
25, Eco4133, 2167, 8969.87, 388.3, 171.5, 0.0
25, Eco4226, 50645, 9394.04, 416.3, 168.4, 0.0
25, Eco4441, 11394, 11274.54, 470.6, 198.3, 0.0
25, Eco5036, 518, 6029.22, 262.9, 112.7, 0.0
25, Eco5102, 1704, 9378.05, 403.3, 186.9, 0.0
25, Eco5133, 2095, 8298.47, 354.6, 137.9, 0.0
25, Eco5226, 79038, 9364.59, 419.1, 167.7, 0.0
25, Eco5441, 24346, 10295.47, 447.6, 186.3, 0.0
25, Eco6036, 416, 3984.16, 188.2, 74.6, 0.0
25, Eco6133, 718, 8866.30, 386.5, 152.1, 0.0
25, Eco6226, 14221, 9341.04, 399.3, 154.7, 0.0
25, Eco6441, 112, 8680.53, 420.3, 166.4, 0.0
25, Eco7133, 1393, 8946.16, 411.7, 161.4, 0.0
25, Eco7226, 46751, 8571.77, 369.0, 149.0, 0.0
25, Eco7441, 8369, 10939.98, 427.2, 183.2, 0.0
30, Eco1072, 115584, 11256.86, 357.2, 167.0, 0.0
